2025-12-14 13:51:25,597 - INFO - risk_monitor - Connected ccxt exchange 'kraken' (id=kraken, 1405 markets)
2025-12-14 13:51:28,784 - INFO - risk_monitor - Connected ccxt exchange 'bitget_spot' (id=bitget, 1396 markets)
2025-12-14 13:51:31,775 - INFO - risk_monitor - Connected ccxt exchange 'bitget_futures' (id=bitget, 1396 markets)
2025-12-14 13:51:31,775 - INFO - risk_monitor - Building dynamic trading universe from exchange markets
2025-12-14 13:51:31,776 - INFO - risk_monitor - Capping symbols for kraken from 587 to 120
2025-12-15 04:26:23,797 - INFO - risk_monitor - Risk score 77.0 (TRADE) | spreads 88.3bps | volume $490075812 | latency kraken:946ms, bitget_spot:260ms, bitget_futures:258ms
2025-12-15 04:34:53,166 - INFO - risk_monitor - Risk score 81.0 (TRADE) | spreads 93.0bps | volume $489105254 | latency kraken:945ms, bitget_spot:260ms, bitget_futures:268ms
2025-12-15 04:43:19,277 - INFO - risk_monitor - Risk score 81.0 (TRADE) | spreads 93.8bps | volume $489313561 | latency kraken:943ms, bitget_spot:254ms, bitget_futures:257ms
2025-12-15 04:51:46,642 - INFO - risk_monitor - Risk score 73.0 (TRADE) | spreads 96.1bps | volume $489261265 | latency kraken:943ms, bitget_spot:263ms, bitget_futures:254ms
2025-12-15 05:00:14,353 - INFO - risk_monitor - Risk score 66.0 (TRADE_WITH_CAUTION) | spreads 98.9bps | volume $488666616 | latency kraken:944ms, bitget_spot:256ms, bitget_futures:267ms
2025-12-15 05:08:41,955 - INFO - risk_monitor - Risk score 65.0 (TRADE_WITH_CAUTION) | spreads 91.6bps | volume $488662622 | latency kraken:939ms, bitget_spot:257ms, bitget_futures:257ms
2025-12-15 05:17:06,672 - INFO - risk_monitor - Risk score 69.0 (TRADE_WITH_CAUTION) | spreads 118.2bps | volume $489687173 | latency kraken:947ms, bitget_spot:255ms, bitget_futures:251ms
2025-12-15 05:25:35,299 - INFO - risk_monitor - Risk score 68.0 (TRADE_WITH_CAUTION) | spreads 91.2bps | volume $488416789 | latency kraken:947ms, bitget_spot:257ms, bitget_futures:261ms
2025-12-15 05:34:02,051 - INFO - risk_monitor - Risk score 69.0 (TRADE_WITH_CAUTION) | spreads 99.3bps | volume $488651066 | latency kraken:949ms, bitget_spot:260ms, bitget_futures:254ms
2025-12-15 05:42:27,911 - INFO - risk_monitor - Risk score 69.0 (TRADE_WITH_CAUTION) | spreads 99.2bps | volume $489556601 | latency kraken:947ms, bitget_spot:257ms, bitget_futures:253ms
2025-12-15 05:50:55,423 - INFO - risk_monitor - Risk score 68.0 (TRADE_WITH_CAUTION) | spreads 109.5bps | volume $489471609 | latency kraken:948ms, bitget_spot:262ms, bitget_futures:255ms
2025-12-15 05:59:26,468 - INFO - risk_monitor - Risk score 74.0 (TRADE) | spreads 100.4bps | volume $492314205 | latency kraken:947ms, bitget_spot:263ms, bitget_futures:271ms
2025-12-15 06:07:55,469 - INFO - risk_monitor - Risk score 75.0 (TRADE) | spreads 101.0bps | volume $492758012 | latency kraken:937ms, bitget_spot:258ms, bitget_futures:264ms
2025-12-15 06:16:25,176 - INFO - risk_monitor - Risk score 74.0 (TRADE) | spreads 97.4bps | volume $492149625 | latency kraken:951ms, bitget_spot:261ms, bitget_futures:264ms
2025-12-15 06:24:57,539 - INFO - risk_monitor - Risk score 72.0 (TRADE) | spreads 99.4bps | volume $493185064 | latency kraken:943ms, bitget_spot:271ms, bitget_futures:267ms
2025-12-15 06:33:28,118 - INFO - risk_monitor - Risk score 68.0 (TRADE_WITH_CAUTION) | spreads 114.6bps | volume $496377918 | latency kraken:947ms, bitget_spot:262ms, bitget_futures:264ms
2025-12-15 06:41:58,540 - INFO - risk_monitor - Risk score 68.0 (TRADE_WITH_CAUTION) | spreads 103.4bps | volume $495886332 | latency kraken:942ms, bitget_spot:264ms, bitget_futures:261ms
2025-12-15 06:50:29,056 - INFO - risk_monitor - Risk score 68.0 (TRADE_WITH_CAUTION) | spreads 100.4bps | volume $495791574 | latency kraken:948ms, bitget_spot:259ms, bitget_futures:267ms
2025-12-15 06:59:00,685 - INFO - risk_monitor - Risk score 68.0 (TRADE_WITH_CAUTION) | spreads 102.8bps | volume $496021981 | latency kraken:949ms, bitget_spot:266ms, bitget_futures:267ms
2025-12-15 07:07:32,504 - INFO - risk_monitor - Risk score 67.0 (TRADE_WITH_CAUTION) | spreads 99.7bps | volume $496541958 | latency kraken:932ms, bitget_spot:270ms, bitget_futures:265ms
